cluster_id,clusterKey,asin,fnsku,seller_sku,partial_triad,rows_seen_total,rows_seen_afi,rows_seen_manage_fba,rows_seen_fba_inv,source_tables_seen,distinct_conflicting_product_ids,product_ids,non_f2_conflict_present,titles_seen_count,titles_top1,titles_top2,vendor_hint,severity,severity_reasons,recommended_review_action
b5445a757288,B088K7H51N::X002SJEPVR::SK-ME2L-WT9E,B088K7H51N,X002SJEPVR,SK-ME2L-WT9E,false,2,0,1,1,"amazon_manage_fba_inventory,amazon_fba_inventory",4,"2a299a0d-b3fe-4683-9722-ddc48001004e,5deb6a1f-bdea-411b-9ad3-ed411df673a9,83fd63a9-b3ad-432e-bb9f-400db65319ce,b37f7ea3-cea3-46f5-97f4-de6cfe32d990",false,2,"Torani Puremade Syrup, Zero Sugar Vanilla Flavor, Glass Bottle, Natural Flavors, 25.4 Fl. Oz, 750 ml",,Torani,critical,four_plus_pids,escalate_immediate_dedupe
0d8956400a9a,B000HKR6S2::X003VKPV7T::2024AUG25-B000HKR6S2,B000HKR6S2,X003VKPV7T,2024AUG25-B000HKR6S2,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"482be2b5-aace-4763-86b0-f152e498d3e8,670bcbba-bacf-46c3-bff0-cbe6e6a1d5b4,b0486568-60ff-45ba-bdf4-fc09c330330d,c6a5c352-a577-4a03-91ab-50ced68214c5",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
28e86dcaeb20,B000BGZNW8::X002G8JFDD::MA-D2R4-ZJOC,B000BGZNW8,X002G8JFDD,MA-D2R4-ZJOC,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"3b834f40-e569-4723-8176-e10f464b8e4f,3cfe1910-1d44-4678-9de5-c457e60ba338,89c0720c-d641-47a7-aa4b-c7acbbc0f09c,db8340a1-7d45-4475-ad36-dde07eeb0328",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
36a602fb615d,B004LUXJOE::X00215D72L::Y3-WKES-223B,B004LUXJOE,X00215D72L,Y3-WKES-223B,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"0b8ba557-91f7-4fbc-95c8-450b82babaa3,8652ef99-ce79-487d-b14b-64882e4a42c1,9e5e52fe-623b-40ad-970c-13d28b5906b4,e92e28f4-33af-4e1f-9783-22a4c8a6b2ba",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
3e4fd7667a9b,B000BH3K86::X003RJSXXX::AAA-M-AR048A-B000BH3K86,B000BH3K86,X003RJSXXX,AAA-M-AR048A-B000BH3K86,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"3bf273c9-69b8-4e84-ac6f-7a9f778ae629,72738a66-e27a-45c1-ac2c-3f0f27f949d9,a8d0791d-8a65-4063-b008-8f4845d40217,daf76369-f82b-4b80-a230-200f1d6800fe",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
6df2c484c373,B004LCXKDM::X003W4N4FF::2024NOV01-B004LCXKDM,B004LCXKDM,X003W4N4FF,2024NOV01-B004LCXKDM,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"290b8457-efe1-4caa-b192-5b95fda64ab4,3ddf8f0d-7cfd-4523-ae4a-58430418f034,3f35bc0f-e65f-4b5b-8924-d74b61e08c07,cee07d85-5e2b-4413-b146-f6d4a5b88e37",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
6e0c6ca20cc5,B000CHKHHM::X002ETD4L3::EZ-WJJW-2R70,B000CHKHHM,X002ETD4L3,EZ-WJJW-2R70,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"1d7d1aeb-6b4b-4187-9186-6aa6b93f7ad4,6d5324da-327d-4545-9c1d-53480ba2bf10,d31323a7-6b88-4f81-a062-41dd6da84f9b,faca2ae6-6f0e-4e35-894a-96818b877149",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
8b12ae390cb3,B004LGUA40::X003AW2QA3::04012023-RETURN-B004LGUA40,B004LGUA40,X003AW2QA3,04012023-RETURN-B004LGUA40,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"28ff824f-99a5-4534-ba5f-de72dc6f82fb,7ea9c140-165e-430c-abf0-ef09a392ab81,b55ee990-bfb5-49ff-ab6e-e5f70f9654d5,c5f7e5ee-abca-49b8-84b4-7d401223ad1c",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
99d4a560dba1,B00365O5H0::X002L1N9F5::MZ-EOBN-CDO1,B00365O5H0,X002L1N9F5,MZ-EOBN-CDO1,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"5a2f9fda-de41-449c-bf1a-6f0e87feb2cc,78147b0d-1f2b-4953-a4e8-cc22d9879d82,95c89ad6-9b3d-4685-82e9-77c5c0d5d308,da9fb4f1-775c-4231-8920-0ebed1c9b5e9",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
a25b8c7c0360,B004L6DIA8::X0037SBGG5::FJ-HDZ7-C5ZE-VEN-04,B004L6DIA8,X0037SBGG5,FJ-HDZ7-C5ZE-VEN-04,false,1,1,0,0,amazon_amazon_fulfilled_inventory,4,"1bbbd970-3446-4827-b4bf-1811ba35a9bb,76c53771-79dc-484c-81c3-ded9c61897a5,ef48a81b-ea2d-4a0d-bd6d-52dca50e3177,fe5a6342-184e-4a58-a701-74cd4fb6fffd",false,0,,,,critical,"four_plus_pids,no_title_evidence",escalate_immediate_dedupe
