cluster_id,severity,recommended_review_action,severity_reasons,asin,fnsku,seller_sku,source_tables_seen,rows_seen_total,product_ids,vendor_hint,product_titles,product_skus,product_upcs,product_asins,product_fnskus,product_mfg_part_numbers,product_brands,product_vendors,product_statuses,product_deleted_at,product_merged_into_ids,product_store_ids,n_distinct_titles,n_distinct_skus,n_distinct_asins,n_distinct_fnskus,n_distinct_upcs,any_merged,any_deleted,any_cross_store,any_missing,merged_into_inside_cluster,likely_same_product_hint,likely_same_product_reasons,title_similarity_max,review_notes_blank
b5445a757288,critical,escalate_immediate_dedupe,four_plus_pids,B088K7H51N,X002SJEPVR,SK-ME2L-WT9E,"amazon_manage_fba_inventory,amazon_fba_inventory",2,"2a299a0d-b3fe-4683-9722-ddc48001004e,5deb6a1f-bdea-411b-9ad3-ed411df673a9,83fd63a9-b3ad-432e-bb9f-400db65319ce,b37f7ea3-cea3-46f5-97f4-de6cfe32d990",Torani,"Torani Puremade Syrup, Zero Sugar Vanilla Flavor, Glass Bottle, Natural Flavors, 25.4 Fl. Oz., 750 mL | Torani Puremade Syrup, Zero Sugar Vanilla Flavor, Glass Bottle, Natural Flavors, 25.4 Fl. Oz., 750 mL | Torani Puremade Syrup, Zero Sugar Vanilla Flavor, Glass Bottle, Natural Flavors, 25.4 Fl. Oz., 750 mL | Torani Puremade Syrup, Zero Sugar Hazelnut Flavor, Glass Bottle, Natural Flavors, 25.4 Fl. Oz., 750 mL",SK-ME2L-WT9E-ven-04 | SK-ME2L-WT9E | AAA-G602358-B088K7H51N | AAA-G602341-B088K2XBH9,089036602358 | 089036602358 | 089036602358 | 089036602341,B088K7H51N |  | B088K7H51N | B088K7H51N,X0037SE8HT | X002SJEPVR | X003RALT6P | X003RK25LD,G602358 | G602358 | G602358 | G602341,Torani |  | Torani | Torani,torani2 | torani2 | torani2 | torani2,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,4,2,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
0d8956400a9a,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B000HKR6S2,X003VKPV7T,2024AUG25-B000HKR6S2,amazon_amazon_fulfilled_inventory,1,"482be2b5-aace-4763-86b0-f152e498d3e8,670bcbba-bacf-46c3-bff0-cbe6e6a1d5b4,b0486568-60ff-45ba-bdf4-fc09c330330d,c6a5c352-a577-4a03-91ab-50ced68214c5",,Monin Syrup Organic Caramel; 750 Milileter; 1 Per Box; 6 Per Case | Monin Syrup Organic Caramel 6/750 ml | Monin Syrup Organic Caramel 6/750 ml | Monin Syrup Organic Caramel 6/750 ml,B000HKR6S2-VEN-D | MONIN-organic caramel-7-12 | MONIN-organic caramel-7-12-ven-04 | AAA-M-AO009B-B000HKR6S2,60738300000000 | 60738300000000 | 60738300000000 | 60738300000000,B000HKR6S2 | B000HKR6S2 | B000HKR6S2 | B000HKR6S2, | X002K7IE91 | X0037SDPSR | ,DOT-474015 | M-AO009B | M-AO009B | M-AO009B,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
28e86dcaeb20,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B000BGZNW8,X002G8JFDD,MA-D2R4-ZJOC,amazon_amazon_fulfilled_inventory,1,"3b834f40-e569-4723-8176-e10f464b8e4f,3cfe1910-1d44-4678-9de5-c457e60ba338,89c0720c-d641-47a7-aa4b-c7acbbc0f09c,db8340a1-7d45-4475-ad36-dde07eeb0328",,Monin Syrup Caramel 12/750 ml | Monin Premium Caramel Syrup; 750 Milileter; 12 Per Case | Monin Syrup Caramel 12/750 ml | Monin Syrup Caramel 12/750 ml,AAA-M-AR009A-B000BGZNW8 | B000BGZNW8-VEN-D | MA-D2R4-ZJOC-ven-04 | MA-D2R4-ZJOC,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B000BGZNW8 | B000BGZNW8 | B000BGZNW8 | B000BGZNW8, |  | X0037S67T1 | X002G8JFDD,M-AR009A | DOT-399109 | M-AR009A | M-AR009A,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
36a602fb615d,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B004LUXJOE,X00215D72L,Y3-WKES-223B,amazon_amazon_fulfilled_inventory,1,"0b8ba557-91f7-4fbc-95c8-450b82babaa3,8652ef99-ce79-487d-b14b-64882e4a42c1,9e5e52fe-623b-40ad-970c-13d28b5906b4,e92e28f4-33af-4e1f-9783-22a4c8a6b2ba",,Monin Concentrate Cold Brew Coffee 4/1 Liter | Monin Concentrate Cold Brew Coffee 4/1 Liter | Monin Concentrate Cold Brew Coffee 4/1 Liter | Monin Cold Brew Coffee Concentrate; 1 Liter; 4 Per Case,Y3-WKES-223B-ven-04 | AAA-M-FR135F-B004LUXJOE | Y3-WKES-223B | B004LUXJOE-VEN-D,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B004LUXJOE | B004LUXJOE | B004LUXJOE | B004LUXJOE,X0037SDITN |  | X00215D72L | ,M-FR135F | M-FR135F | M-FR135F | DOT-487051,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
3e4fd7667a9b,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B000BH3K86,X003RJSXXX,AAA-M-AR048A-B000BH3K86,amazon_amazon_fulfilled_inventory,1,"3bf273c9-69b8-4e84-ac6f-7a9f778ae629,72738a66-e27a-45c1-ac2c-3f0f27f949d9,a8d0791d-8a65-4063-b008-8f4845d40217,daf76369-f82b-4b80-a230-200f1d6800fe",,Monin Macadamia Nut Flavor Syrup Glass; 750 Milileter; 1 Per Box; 12 Per Case | Monin Syrup Macadamia Nut 12/750 ml | Monin Syrup Macadamia Nut 12/750 ml | Monin Syrup Macadamia Nut 12/750 ml,B000BH3K86-VEN-D | QC-JTF4-22L0-ven-04 | QC-JTF4-22L0 | AAA-M-AR048A-B000BH3K86,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B000BH3K86 | B000BH3K86 | B000BH3K86 | B000BH3K86, | X0037SDPUZ | X002N60HJT | ,DOT-399127 | M-AR048A | M-AR048A | M-AR048A,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
6df2c484c373,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B004LCXKDM,X003W4N4FF,2024NOV01-B004LCXKDM,amazon_amazon_fulfilled_inventory,1,"290b8457-efe1-4caa-b192-5b95fda64ab4,3ddf8f0d-7cfd-4523-ae4a-58430418f034,3f35bc0f-e65f-4b5b-8924-d74b61e08c07,cee07d85-5e2b-4413-b146-f6d4a5b88e37",,Monin Syrup Blueberry 4/1 Liter | Monin Blueberry Syrup; 1 Liter; 4 Per Case | Monin Syrup Blueberry 4/1 Liter | Monin Syrup Blueberry 4/1 Liter,monin-blueberry-7-12 | B004LCXKDM-VEN-D | AAA-M-FR008F-B004LCXKDM | monin-blueberry-7-12-ven-04,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B004LCXKDM | B004LCXKDM | B004LCXKDM | B004LCXKDM,X002K7HKJV |  |  | X0037SDILV,M-FR008F | DOT-470236 | M-FR008F | M-FR008F,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
6e0c6ca20cc5,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B000CHKHHM,X002ETD4L3,EZ-WJJW-2R70,amazon_amazon_fulfilled_inventory,1,"1d7d1aeb-6b4b-4187-9186-6aa6b93f7ad4,6d5324da-327d-4545-9c1d-53480ba2bf10,d31323a7-6b88-4f81-a062-41dd6da84f9b,faca2ae6-6f0e-4e35-894a-96818b877149",,Monin Syrup Pure Cane 12/750 ml | Monin Syrup Pure Cane 12/750 ml | Monin Syrup Pure Cane 12/750 ml | Monin Pure Cane Syrup; 750 Milileter; 12 Per Case,AAA-M-AR000A-B000CHKHHM | EZ-WJJW-2R70 | EZ-WJJW-2R70-ven-04 | B000CHKHHM-VEN-D,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B000CHKHHM | B000CHKHHM | B000CHKHHM | B000CHKHHM, | X002ETD4L3 | X0037SBGKB | ,M-AR000A | M-AR000A | M-AR000A | DOT-399165,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
8b12ae390cb3,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B004LGUA40,X003AW2QA3,04012023-RETURN-B004LGUA40,amazon_amazon_fulfilled_inventory,1,"28ff824f-99a5-4534-ba5f-de72dc6f82fb,7ea9c140-165e-430c-abf0-ef09a392ab81,b55ee990-bfb5-49ff-ab6e-e5f70f9654d5,c5f7e5ee-abca-49b8-84b4-7d401223ad1c",,Monin Syrup Caramel 4/1 Liter | Monin Syrup Caramel 4/1 Liter | Monin Premium Caramel Syrup; 1 Liter; 4 Per Case | Monin Syrup Caramel 4/1 Liter,AAA-M-FR009F-B004LGUA40 | PV-JXIM-XLSU-ven-04 | B004LGUA40-VEN-D | PV-JXIM-XLSU,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B004LGUA40 | B004LGUA40 | B004LGUA40 | B004LGUA40, | X0037SDIEX |  | X002TH2JHZ,M-FR009F | M-FR009F | DOT-399081 | M-FR009F,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
99d4a560dba1,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B00365O5H0,X002L1N9F5,MZ-EOBN-CDO1,amazon_amazon_fulfilled_inventory,1,"5a2f9fda-de41-449c-bf1a-6f0e87feb2cc,78147b0d-1f2b-4953-a4e8-cc22d9879d82,95c89ad6-9b3d-4685-82e9-77c5c0d5d308,da9fb4f1-775c-4231-8920-0ebed1c9b5e9",,Monin Premium Strawberry Fruit Puree; 1 Liter; 4 Per Case | Monin Purée Strawberry 4/1 Liter | Monin Purée Strawberry 4/1 Liter | Monin Purée Strawberry 4/1 Liter,B00365O5H0-VEN-D | AAA-M-RP042F-B00365O5H0 | MZ-EOBN-CDO1 | MZ-EOBN-CDO1-ven-04,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B00365O5H0 | B00365O5H0 | B00365O5H0 | B00365O5H0, |  | X002L1N9F5 | X0037S67ZP,DOT-502529 | M-RP042F | M-RP042F | M-RP042F,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
a25b8c7c0360,critical,escalate_immediate_dedupe,"four_plus_pids,no_title_evidence",B004L6DIA8,X0037SBGG5,FJ-HDZ7-C5ZE-VEN-04,amazon_amazon_fulfilled_inventory,1,"1bbbd970-3446-4827-b4bf-1811ba35a9bb,76c53771-79dc-484c-81c3-ded9c61897a5,ef48a81b-ea2d-4a0d-bd6d-52dca50e3177,fe5a6342-184e-4a58-a701-74cd4fb6fffd",,Monin Syrup Elderflower; 750 Milileter; 12 Per Case | Monin Syrup Elderflower 12/750 ml | Monin Syrup Elderflower 12/750 ml | Monin Syrup Elderflower 12/750 ml,B004L6DIA8-VEN-D | FJ-HDZ7-C5ZE-ven-04 | FJ-HDZ7-C5ZE | AAA-M-AR147A-B004L6DIA8,10738300000000 | 10738300000000 | 10738300000000 | 10738300000000,B004L6DIA8 | B004L6DIA8 | B004L6DIA8 | B004L6DIA8, | X0037SBGG5 | X002A1KRG5 | ,DOT-492079 | M-AR147A | M-AR147A | M-AR147A,Monin | Monin | Monin | Monin,dot | dot | dot | dot,active: | active: | active: | active:, |  |  | , |  |  | ,509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c | 509ee1f6-622c-46a5-8110-7b889ba46c2c,2,4,1,2,1,false,false,false,false,false,yes_medium,"single_asin,title_similarity_1.00",1.000,
